Group#,Source Student,Target Student,Score,Comment,,Private
Group 1
,eem-t9-s6,blq-t9-s4,18.8,"From 'Team9 Student6' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,ggl-t9-s2,blq-t9-s4,26.3,"From 'Team9 Student2' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,lkn-t9-s1,blq-t9-s4,28.7,"From 'Team9 Student1' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,mkr-t9-s5,blq-t9-s4,19.2,"From 'Team9 Student5' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,msp-t9-s7,blq-t9-s4,0.3,"From 'Team9 Student7' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,soi-t9-s3,blq-t9-s4,19.6,"From 'Team9 Student3' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,wef-t9-s8,blq-t9-s4,14.0,"From 'Team9 Student8' about 'Team9 Student4'
And they said, 'You'll never get it done!'",,
,-->,blq-t9-s4,27.1,"From 'Team9 Student4' about 'Team9 Student4'
And they said, 'You'll never get it done!'"
,-->,blq-t9-s4,avg 18.1 /7,,,"That's all! It was 'fun'! (said Team9 Student4)
Don't forget: Bring your towel \ the cake is a lie."
,blq-t9-s4,eem-t9-s6,22.0,"From 'Team9 Student4' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,ggl-t9-s2,eem-t9-s6,17.9,"From 'Team9 Student2' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,lkn-t9-s1,eem-t9-s6,20.0,"From 'Team9 Student1' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,mkr-t9-s5,eem-t9-s6,3.2,"From 'Team9 Student5' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,msp-t9-s7,eem-t9-s6,19.0,"From 'Team9 Student7' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,soi-t9-s3,eem-t9-s6,12.1,"From 'Team9 Student3' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,wef-t9-s8,eem-t9-s6,13.9,"From 'Team9 Student8' about 'Team9 Student6'
And they said, 'You'll never get it done!'",,
,-->,eem-t9-s6,9.3,"From 'Team9 Student6' about 'Team9 Student6'
And they said, 'You'll never get it done!'"
,-->,eem-t9-s6,avg 15.4 /7,,,"That's all! It was 'fun'! (said Team9 Student6)
Don't forget: Bring your towel \ the cake is a lie."
,blq-t9-s4,ggl-t9-s2,0.6,"From 'Team9 Student4' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,eem-t9-s6,ggl-t9-s2,25.8,"From 'Team9 Student6' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,lkn-t9-s1,ggl-t9-s2,14.9,"From 'Team9 Student1' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,mkr-t9-s5,ggl-t9-s2,22.1,"From 'Team9 Student5' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,msp-t9-s7,ggl-t9-s2,19.8,"From 'Team9 Student7' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,soi-t9-s3,ggl-t9-s2,16.3,"From 'Team9 Student3' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
,wef-t9-s8,ggl-t9-s2,22.0,"From 'Team9 Student8' about 'Team9 Student2'
And they said, 'You'll never get it done!'",,
